Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01,100.0,100.0,100.0,100.0,96.2857666015625,0
2020-10-02,100.0,100.0,100.0,100.0,96.2857666015625,0
2020-10-05,100.02999877929688,100.04000091552734,99.99500274658203,99.99500274658203,96.28095245361328,10725
2020-10-06,100.01000213623047,100.02999877929688,100.01000213623047,100.02999877929688,96.31465148925781,10080
2020-10-07,99.94999694824219,99.95999908447266,99.91999816894531,99.91999816894531,96.20873260498047,6350
2020-10-08,99.98999786376953,99.99500274658203,99.9717025756836,99.99500274658203,96.28095245361328,650
2020-10-09,99.97000122070312,99.9800033569336,99.94000244140625,99.94000244140625,96.22799682617188,1820
2020-10-12,99.95999908447266,99.97000122070312,99.94000244140625,99.94000244140625,96.22799682617188,5685
2020-10-13,99.97899627685547,99.98999786376953,99.96320343017578,99.96499633789062,96.25206756591797,3635
2020-10-14,100.0,100.0,99.9749984741211,99.9749984741211,96.26168823242188,3985
2020-10-15,100.0,100.0,99.94499969482422,99.94499969482422,96.23281860351562,3312
2020-10-16,99.94999694824219,99.95999908447266,99.92500305175781,99.92500305175781,96.21356201171875,2135
2020-10-19,99.91000366210938,99.91999816894531,99.88999938964844,99.88999938964844,96.17986297607422,126687
2020-10-20,99.84709930419922,99.84709930419922,99.84709930419922,99.84709930419922,96.1385498046875,29
2020-10-21,99.83999633789062,99.83999633789062,99.82430267333984,99.82430267333984,96.11660766601562,320
2020-10-22,99.77999877929688,99.77999877929688,99.75,99.75,96.04505157470703,5600
2020-10-23,99.80999755859375,99.80999755859375,99.79000091552734,99.79000091552734,96.08357238769531,4617
2020-10-26,99.88999938964844,99.88999938964844,99.86000061035156,99.86000061035156,96.1509780883789,3900
2020-10-27,99.93000030517578,99.93000030517578,99.91500091552734,99.91500091552734,96.20392608642578,710
2020-10-28,99.91000366210938,99.91000366210938,99.88500213623047,99.88500213623047,96.175048828125,704
2020-10-29,99.81999969482422,99.81999969482422,99.7699966430664,99.7699966430664,96.06432342529297,830
2020-10-30,99.69989776611328,99.69989776611328,99.69989776611328,99.69989776611328,95.99681091308594,29
2020-11-02,99.70240020751953,99.70240020751953,99.70240020751953,99.70240020751953,95.99922943115234,1
2020-11-03,99.66500091552734,99.66500091552734,99.66500091552734,99.66500091552734,95.96321868896484,1
2020-11-04,99.95999908447266,99.9800033569336,99.95899963378906,99.97480010986328,96.2614974975586,2561
2020-11-05,99.99870300292969,99.99870300292969,99.99870300292969,99.99870300292969,96.28451538085938,1
2020-11-06,99.88999938964844,99.94000244140625,99.88999938964844,99.90480041503906,96.19409942626953,1001
2020-11-09,99.70999908447266,99.74629974365234,99.70099639892578,99.74629974365234,96.04148864746094,4126
